"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.022744445E2,3.061889431E1,-9.634126388E1,9.857653329E1,1.039999962E0,1.398000031E2,5.102040768E-1,1.000000000E0
1.032744414E2,3.061889598E1,-9.634126615E1,9.857653120E1,1.009999990E0,1.420000000E2,5.102040768E-1,1.000000000E0
1.042744381E2,3.061889728E1,-9.634126883E1,9.857652925E1,9.899999499E-1,1.421000061E2,5.102040768E-1,1.000000000E0
1.052744349E2,3.061888944E1,-9.634126263E1,9.857653743E1,9.899999499E-1,1.430000000E2,5.102040768E-1,1.000000000E0
1.062744316E2,3.061888161E1,-9.634125626E1,9.857654567E1,1.000000000E0,1.443999939E2,5.102040768E-1,1.000000000E0
1.072744285E2,3.061887381E1,-9.634124955E1,9.957655400E1,9.899999499E-1,1.421000061E2,5.102040768E-1,1.000000000E0
1.082744253E2,3.061886606E1,-9.634124276E1,9.957656233E1,9.899999499E-1,1.403000031E2,5.102040768E-1,1.000000000E0
1.092744222E2,3.061885835E1,-9.634123581E1,9.857657070E1,9.899999499E-1,1.405000000E2,5.102040768E-1,1.000000000E0
1.102744190E2,3.061885059E1,-9.634122885E1,9.857657909E1,9.899999499E-1,1.418999939E2,5.102040768E-1,1.000000000E0
1.112744158E2,3.061884288E1,-9.634122164E1,9.857658754E1,9.899999499E-1,1.428000031E2,5.102040768E-1,1.000000000E0
1.122744125E2,3.061883509E1,-9.634121426E1,9.857659611E1,1.000000000E0,1.421000061E2,5.102040768E-1,1.000000000E0
1.132744092E2,3.061882738E1,-9.634120672E1,9.857660469E1,1.009999990E0,1.405000000E2,5.102040768E-1,1.000000000E0
1.142744061E2,3.061881979E1,-9.634119909E1,9.857661319E1,1.000000000E0,1.388999939E2,5.102040768E-1,1.000000000E0
1.152744031E2,3.061881225E1,-9.634119147E1,9.857662167E1,1.000000000E0,1.436000061E2,1.020408154E0,2.000000000E0
1.162743998E2,3.061880474E1,-9.634118375E1,9.857663015E1,9.899999499E-1,1.433999939E2,5.102040768E-1,1.000000000E0
1.172743968E2,3.061879733E1,-9.634117629E1,9.857663847E1,9.899999499E-1,1.411999969E2,5.102040768E-1,1.000000000E0
1.182743936E2,3.061879003E1,-9.634116858E1,9.857664678E1,9.899999499E-1,1.386000061E2,5.102040768E-1,1.000000000E0
1.192743903E2,3.061878283E1,-9.634116087E1,9.857665504E1,9.799999595E-1,1.393999939E2,5.102040768E-1,1.000000000E0
1.202743871E2,3.061877570E1,-9.634115333E1,9.857666316E1,9.799999595E-1,1.408999939E2,5.102040768E-1,1.000000000E0
1.212743840E2,3.061876858E1,-9.634114578E1,9.857667129E1,9.799999595E-1,1.381999969E2,1.020408154E0,1.000000000E0
1.222743809E2,3.061876162E1,-9.634113832E1,9.757667926E1,9.599999785E-1,1.406000061E2,5.102040768E-1,1.000000000E0
1.232743778E2,3.061875466E1,-9.634113128E1,9.757668708E1,9.399999976E-1,1.680000000E2,5.102040768E-1,1.000000000E0
1.242743747E2,3.061874796E1,-9.634112525E1,9.657669435E1,8.899999857E-1,1.555000000E2,5.102040768E-1,1.000000000E0
1.252743715E2,3.061874117E1,-9.634111930E1,9.657670165E1,8.700000048E-1,1.498999939E2,5.102040768E-1,1.000000000E0
1.262743683E2,3.061873434E1,-9.634111351E1,9.657670892E1,8.599999547E-1,1.421999969E2,5.102040768E-1,1.000000000E0
1.272743651E2,3.061872742E1,-9.634110773E1,9.657671625E1,8.499999642E-1,1.425000000E2,5.102040768E-1,1.000000000E0
1.282743619E2,3.061872034E1,-9.634110178E1,9.657672377E1,8.799999952E-1,1.448999939E2,5.102040768E-1,1.000000000E0
1.292743588E2,3.061871305E1,-9.634109566E1,9.657673151E1,8.999999762E-1,1.451000061E2,5.102040768E-1,1.000000000E0
1.302743558E2,3.061870559E1,-9.634108921E1,9.657673950E1,9.199999571E-1,1.428999939E2,5.102040768E-1,1.000000000E0
1.312743526E2,3.061869796E1,-9.634108242E1,9.657674774E1,9.399999976E-1,1.416999969E2,5.102040768E-1,1.000000000E0
1.322743495E2,3.061869016E1,-9.634107546E1,9.557675616E1,9.599999785E-1,1.416999969E2,5.102040768E-1,1.000000000E0
1.332743462E2,3.061868224E1,-9.634106833E1,9.557676474E1,9.799999595E-1,1.548000031E2,5.102040768E-1,1.000000000E0
1.342743430E2,3.061867415E1,-9.634106129E1,9.557677342E1,9.799999595E-1,1.543000031E2,5.102040768E-1,1.000000000E0
1.352743400E2,3.061866607E1,-9.634105434E1,9.557678207E1,9.699999690E-1,1.461000061E2,5.102040768E-1,1.000000000E0
1.362743368E2,3.061865798E1,-9.634104746E1,9.557679069E1,9.699999690E-1,1.416000061E2,5.102040768E-1,1.000000000E0
1.372743337E2,3.061865010E1,-9.634104051E1,9.557679918E1,9.599999785E-1,1.375000000E2,5.102040768E-1,1.000000000E0
1.382743306E2,3.061864235E1,-9.634103330E1,9.457680766E1,9.599999785E-1,1.340000000E2,5.102040768E-1,1.000000000E0
1.392743274E2,3.061863472E1,-9.634102584E1,9.457681614E1,9.599999785E-1,1.255999985E2,5.102040768E-1,1.000000000E0
1.402743242E2,3.061862743E1,-9.634101804E1,9.457682449E1,9.499999881E-1,9.330000305E1,5.102040768E-1,1.000000000E0
1.412743210E2,3.061862101E1,-9.634101000E1,9.457683226E1,9.099999666E-1,7.100000000E1,5.102040768E-1,1.000000000E0
1.422743179E2,3.061861577E1,-9.634100153E1,9.457683930E1,8.599999547E-1,5.590000153E1,5.102040768E-1,1.000000000E0
1.432743148E2,3.061861192E1,-9.634099256E1,9.557684546E1,8.100000024E-1,4.770000076E1,5.102040768E-1,1.000000000E0
1.442743117E2,3.061860953E1,-9.634098326E1,9.557685064E1,7.699999809E-1,5.500000000E1,5.102040768E-1,1.000000000E0
1.452743086E2,3.061860861E1,-9.634097345E1,9.557685489E1,7.500000000E-1,5.359999847E1,5.102040768E-1,1.000000000E0
1.462743053E2,3.061860907E1,-9.634096348E1,9.557685815E1,7.599999905E-1,5.290000153E1,5.102040768E-1,1.000000000E0
1.472743021E2,3.061861066E1,-9.634095334E1,9.557686061E1,7.899999619E-1,5.450000000E1,5.102040768E-1,1.000000000E0
1.482742990E2,3.061861318E1,-9.634094303E1,9.557686244E1,8.299999833E-1,5.359999847E1,5.102040768E-1,1.000000000E0
1.492742958E2,3.061861661E1,-9.634093263E1,9.557686360E1,8.700000048E-1,5.409999847E1,5.102040768E-1,1.000000000E0
1.502742927E2,3.061862059E1,-9.634092207E1,9.557686440E1,8.999999762E-1,5.490000153E1,5.102040768E-1,1.000000000E0
1.512742896E2,3.061862512E1,-9.634091159E1,9.557686476E1,9.300000072E-1,5.620000076E1,5.102040768E-1,1.000000000E0
1.522742864E2,3.061863002E1,-9.634090095E1,9.557686490E1,9.599999785E-1,5.570000076E1,5.102040768E-1,1.000000000E0
1.532742831E2,3.061863530E1,-9.634089030E1,9.557686475E1,9.799999595E-1,5.250000000E1,5.102040768E-1,1.000000000E0
1.542742799E2,3.061864079E1,-9.634087966E1,9.557686444E1,9.899999499E-1,5.090000153E1,5.102040768E-1,1.000000000E0
1.552742769E2,3.061864654E1,-9.634086901E1,9.557686394E1,1.000000000E0,4.790000153E1,5.102040768E-1,1.000000000E0
1.562742737E2,3.061865253E1,-9.634085845E1,9.557686322E1,1.019999981E0,4.900000000E1,5.102040768E-1,1.000000000E0
1.572742705E2,3.061865869E1,-9.634084806E1,9.557686232E1,1.019999981E0,5.420000076E1,5.102040768E-1,1.000000000E0
1.582742672E2,3.061866485E1,-9.634083766E1,9.557686141E1,1.019999981E0,7.109999847E1,5.102040768E-1,1.000000000E0
1.592742640E2,3.061867047E1,-9.634082736E1,9.557686088E1,1.000000000E0,9.540000153E1,5.102040768E-1,1.000000000E0
1.602742607E2,3.061867520E1,-9.634081746E1,9.557686087E1,9.499999881E-1,1.184000015E2,5.102040768E-1,1.000000000E0
1.612742575E2,3.061867881E1,-9.634080783E1,9.557686163E1,8.899999857E-1,1.316999969E2,5.102040768E-1,1.000000000E0
1.622742542E2,3.061868086E1,-9.634079844E1,9.557686347E1,8.299999833E-1,1.413999939E2,5.102040768E-1,1.000000000E0
1.632742511E2,3.061868145E1,-9.634078939E1,9.557686630E1,7.799999714E-1,1.443999939E2,5.102040768E-1,1.000000000E0
1.642742478E2,3.061868061E1,-9.634078050E1,9.557687015E1,7.599999905E-1,1.458999939E2,5.102040768E-1,1.000000000E0
1.652742446E2,3.061867830E1,-9.634077178E1,9.557687506E1,7.699999809E-1,1.465000000E2,5.102040768E-1,1.000000000E0
1.662742414E2,3.061867487E1,-9.634076340E1,9.557688069E1,7.899999619E-1,1.455000000E2,5.102040768E-1,1.000000000E0
1.672742380E2,3.061867051E1,-9.634075527E1,9.557688694E1,8.100000024E-1,1.538000031E2,5.102040768E-1,1.000000000E0
1.682742348E2,3.061866510E1,-9.634074748E1,9.557689386E1,8.399999738E-1,1.463999939E2,5.102040768E-1,1.000000000E0
1.692742316E2,3.061865890E1,-9.634073985E1,9.557690132E1,8.799999952E-1,1.480000000E2,5.102040768E-1,1.000000000E0
1.702742284E2,3.061865219E1,-9.634073239E1,9.557690910E1,9.099999666E-1,1.486999969E2,1.020408154E0,2.000000000E0
1.712742253E2,3.061864503E1,-9.634072526E1,9.557691712E1,9.300000072E-1,1.451999969E2,1.020408154E0,2.000000000E0
1.722742219E2,3.061863769E1,-9.634071822E1,9.557692522E1,9.399999976E-1,1.438000031E2,5.102040768E-1,1.000000000E0
1.732742187E2,3.061863019E1,-9.634071143E1,9.557693337E1,9.499999881E-1,1.396999969E2,1.020408154E0,2.000000000E0
1.742742154E2,3.061862273E1,-9.634070456E1,9.557694151E1,9.499999881E-1,1.433999939E2,1.020408154E0,2.000000000E0
1.752742122E2,3.061861540E1,-9.634069777E1,9.557694953E1,9.499999881E-1,1.468999939E2,1.020408154E0,2.000000000E0
1.762742089E2,3.061860785E1,-9.634069115E1,9.557695764E1,9.599999785E-1,1.581999969E2,1.020408154E0,2.000000000E0
1.772742058E2,3.061860010E1,-9.634068511E1,9.557696570E1,9.499999881E-1,1.613999939E2,1.020408154E0,2.000000000E0
1.782742026E2,3.061859205E1,-9.634067916E1,9.457697396E1,9.499999881E-1,1.523000031E2,1.530612230E0,2.000000000E0
1.792741994E2,3.061858371E1,-9.634067321E1,9.457698243E1,9.699999690E-1,1.476999969E2,1.530612230E0,2.000000000E0
1.802741960E2,3.061857500E1,-9.634066709E1,9.557699126E1,9.899999499E-1,1.410000000E2,1.530612230E0,2.000000000E0
1.812741928E2,3.061856615E1,-9.634066056E1,9.557700033E1,1.009999990E0,1.321999969E2,1.530612230E0,2.000000000E0
1.822741896E2,3.061855731E1,-9.634065343E1,9.557700961E1,1.039999962E0,1.373000031E2,1.530612230E0,2.000000000E0
1.832741864E2,3.061854838E1,-9.634064597E1,9.557701907E1,1.059999943E0,1.373000031E2,1.530612230E0,2.000000000E0
1.842741833E2,3.061853946E1,-9.634063818E1,9.557702866E1,1.079999924E0,1.386000061E2,1.530612230E0,2.000000000E0
1.852741801E2,3.061853045E1,-9.634063005E1,9.557703844E1,1.100000024E0,1.433999939E2,1.530612230E0,2.000000000E0
1.862741767E2,3.061852110E1,-9.634062175E1,9.457704853E1,1.110000014E0,1.376000061E2,1.530612230E0,2.000000000E0
1.872741735E2,3.061851192E1,-9.634061303E1,9.457705864E1,1.120000005E0,1.343000031E2,1.530612230E0,2.000000000E0
1.882741702E2,3.061850321E1,-9.634060448E1,9.457706834E1,1.110000014E0,1.338000031E2,1.530612230E0,2.000000000E0
1.892741670E2,3.061849466E1,-9.634059576E1,9.457707798E1,1.110000014E0,1.386000061E2,1.530612230E0,2.000000000E0
1.902741637E2,3.061848636E1,-9.634058721E1,9.457708736E1,1.090000033E0,1.430000000E2,1.530612230E0,2.000000000E0
1.912741606E2,3.061847823E1,-9.634057892E1,9.557709653E1,1.079999924E0,1.448999939E2,1.530612230E0,2.000000000E0
1.922741574E2,3.061847010E1,-9.634057079E1,9.557710564E1,1.079999924E0,1.393000031E2,1.530612230E0,2.000000000E0
1.932741542E2,3.061846205E1,-9.634056282E1,9.557711462E1,1.059999943E0,1.380000000E2,1.530612230E0,2.000000000E0
1.942741512E2,3.061845421E1,-9.634055503E1,9.557712339E1,1.049999952E0,1.390000000E2,1.530612230E0,2.000000000E0
1.952741481E2,3.061844654E1,-9.634054757E1,9.557713190E1,1.039999962E0,1.410000000E2,1.020408154E0,2.000000000E0
1.962741449E2,3.061843879E1,-9.634054019E1,9.557714045E1,1.039999962E0,1.418000031E2,1.020408154E0,2.000000000E0
1.972741418E2,3.061843091E1,-9.634053290E1,9.557714906E1,1.029999971E0,1.325000000E2,1.020408154E0,2.000000000E0
1.982741386E2,3.061842337E1,-9.634052544E1,9.557715748E1,1.029999971E0,1.175999985E2,1.020408154E0,2.000000000E0
1.992741353E2,3.061841624E1,-9.634051781E1,9.557716564E1,1.009999990E0,9.290000153E1,1.020408154E0,2.000000000E0
2.002741322E2,3.061841017E1,-9.634050993E1,9.557717310E1,9.699999690E-1,8.059999847E1,1.020408154E0,2.000000000E0
2.012741291E2,3.061840518E1,-9.634050147E1,9.557717995E1,9.399999976E-1,6.580000305E1,1.020408154E0,1.000000000E0
2.022741260E2,3.061840153E1,-9.634049275E1,9.557718587E1,8.899999857E-1,5.429999924E1,5.102040768E-1,1.000000000E0
2.032741230E2,3.061839931E1,-9.634048378E1,9.657719080E1,8.499999642E-1,4.829999924E1,1.020408154E0,2.000000000E0
2.042741198E2,3.061839839E1,-9.634047464E1,9.657719481E1,8.199999928E-1,4.650000000E1,1.020408154E0,2.000000000E0
2.052741166E2,3.061839889E1,-9.634046526E1,9.657719783E1,8.100000024E-1,4.820000076E1,1.020408154E0,2.000000000E0
2.062741133E2,3.061840069E1,-9.634045587E1,9.757719986E1,8.199999928E-1,4.590000153E1,5.102040768E-1,1.000000000E0
