"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.903939120E-1,-3.810571134E-2,-1.868009567E-2,-4.586982727E-2
9.983794980E-1,-1.143617555E-3,-4.979944229E-2,3.458023071E-3
1.006362818E0,2.621873096E-2,-8.602237701E-2,8.649921417E-2
1.014342350E0,6.493453868E-3,-1.317811012E-1,1.216335297E-1
1.022321568E0,-7.368628867E-3,-1.582951546E-1,6.573486328E-2
1.030303287E0,-4.399316013E-2,-1.938276291E-1,-2.401733398E-2
1.038281685E0,-1.040001810E-1,-2.139582634E-1,-1.239738464E-1
1.046263209E0,-1.067860126E-1,-2.046494484E-1,-2.052021027E-1
1.054245709E0,-7.216536254E-2,-1.709475517E-1,-2.052974701E-1
1.062225904E0,-6.746361405E-2,-1.700949669E-1,-1.914386749E-1
1.070209185E0,-7.811126113E-2,-1.930398941E-1,-1.537246704E-1
1.078189967E0,-8.897826076E-2,-2.597250938E-1,-7.252311707E-2
1.086167584E0,-8.580693603E-2,-2.408461571E-1,-7.234001160E-2
1.094148053E0,-9.786167741E-2,-2.420926094E-1,-8.114814758E-2
1.102126060E0,-7.735724002E-2,-2.007951736E-1,-1.614484787E-1
1.110105201E0,1.837225631E-2,-1.314539909E-1,-2.030286789E-1
1.118082076E0,1.268459260E-1,-1.050095558E-1,-2.160072327E-1
1.126061998E0,1.966108084E-1,-8.263587952E-2,-1.336584091E-1
1.134039498E0,2.296108603E-1,-1.171431541E-1,-8.038425446E-2
1.142019771E0,2.027329504E-1,-1.410727501E-1,-8.516979218E-2
1.149998053E0,1.489719748E-1,-1.878519058E-1,-4.752063751E-2
1.157970123E0,1.473591328E-1,-2.894539833E-1,4.290828705E-1
1.165944420E0,1.354436576E-1,-3.445234299E-1,8.318414688E-1
1.173917701E0,7.630918920E-2,-2.307596207E-1,4.438114166E-1
1.181891100E0,4.228584468E-3,-1.176571846E-1,3.434925079E-1
1.189867623E0,-5.220321566E-2,-8.441543579E-2,3.408918381E-1
1.197846412E0,-1.159990951E-1,-1.119394302E-1,2.397165298E-1
1.205822389E0,-1.532826722E-1,-1.951322556E-1,1.355381012E-1
1.213798053E0,-1.510245353E-1,-1.465687752E-1,-8.699417114E-2
1.221777545E0,-1.186759174E-1,-5.723762512E-2,-2.123937607E-1
1.229755982E0,-1.025252938E-1,-4.112434387E-2,-2.507734299E-1
1.237733482E0,-4.781784117E-2,-6.358337402E-2,-2.985572815E-1
1.245710943E0,2.609115839E-2,-5.686807632E-2,-4.327869415E-1
1.253684146E0,7.910670340E-2,-2.961683273E-2,-5.535125732E-1
1.261659693E0,1.069604903E-1,1.841926575E-2,-5.842647552E-1
1.269636178E0,1.292373538E-1,6.341505051E-2,-5.586318970E-1
1.277614146E0,1.661620438E-1,7.207059860E-2,-5.533514023E-1
1.285593834E0,2.088406086E-1,5.832719803E-2,-4.388685226E-1
1.293572779E0,2.629277408E-1,4.064846039E-2,-4.302301407E-1
1.301551998E0,2.949734330E-1,1.922988892E-2,-3.791208267E-1
1.309532310E0,2.998877764E-1,1.303386688E-2,-4.099216461E-1
1.317508678E0,2.247729301E-1,-1.741886139E-3,-3.886432648E-1
1.325484889E0,1.591986269E-1,-5.435180664E-2,-3.437089920E-1
1.333466100E0,1.267661452E-1,-5.856227875E-2,-2.990884781E-1
1.341448482E0,1.125355139E-1,-9.094810486E-2,-1.973485947E-1
1.349431490E0,1.265745610E-1,-9.473705292E-2,-3.806686401E-2
1.357414303E0,1.745296121E-1,-9.020566940E-2,1.076211929E-1
1.365394185E0,2.188769877E-1,-9.191226959E-2,1.871662140E-1
1.373374732E0,2.741346359E-1,-7.624816895E-2,2.103490829E-1
1.381352350E0,3.069686890E-1,-3.298473358E-2,1.863508224E-1
1.389328053E0,2.834690213E-1,-4.278707504E-2,1.721839905E-1
1.397312779E0,1.937003285E-1,-3.379201889E-2,9.599781036E-2
1.405290318E0,8.096636087E-2,-3.388071060E-2,3.128051758E-4
1.413267115E0,3.103051335E-2,-3.862285614E-2,-3.319740295E-2
1.421240514E0,-3.318579495E-2,-6.627845764E-2,-3.859901428E-2
1.429221490E0,-5.504719913E-2,-7.443714142E-2,8.452415466E-3
1.437206217E0,-2.473608404E-2,-8.740472794E-2,5.072307587E-2
1.445188209E0,3.926029056E-2,-3.384733200E-2,2.328872681E-3
1.453173365E0,8.427827060E-2,-2.851057053E-2,-4.586029053E-2
