"Time (s)","Pressure (hPa)"
1.960456966E2,9.952371826E2
1.961254516E2,9.952294922E2
1.962052036E2,9.951892090E2
1.962849566E2,9.951660767E2
1.963647068E2,9.951505737E2
1.964444700E2,9.951615601E2
1.965242157E2,9.951842041E2
1.966039465E2,9.951989136E2
1.966836711E2,9.951968384E2
1.967633774E2,9.951777954E2
1.968431047E2,9.951505737E2
1.969228209E2,9.951253052E2
1.970025507E2,9.951229248E2
1.970823119E2,9.951532593E2
1.971620911E2,9.951864014E2
1.972418314E2,9.952091675E2
1.973215757E2,9.952184448E2
1.974013690E2,9.952049561E2
1.974811466E2,9.951763916E2
1.975608888E2,9.951530762E2
1.976406811E2,9.951435547E2
1.977204440E2,9.951390381E2
1.978001924E2,9.951629639E2
1.978799825E2,9.951770020E2
1.979597336E2,9.951810913E2
1.980394814E2,9.951729736E2
1.981191981E2,9.951652832E2
1.981989252E2,9.951403198E2
1.982786579E2,9.951329346E2
1.983583974E2,9.951442261E2
1.984381658E2,9.951637573E2
1.985179299E2,9.951832886E2
1.985976736E2,9.951943359E2
1.986774326E2,9.951865234E2
1.987571626E2,9.951630859E2
1.988369474E2,9.951418457E2
1.989167715E2,9.951395264E2
1.989965756E2,9.951407471E2
1.990764025E2,9.951668701E2
1.991561991E2,9.951879272E2
1.992359459E2,9.951951294E2
1.993156660E2,9.951807861E2
1.993953896E2,9.951702881E2
1.994751216E2,9.951459351E2
1.995548464E2,9.951424561E2
1.996345691E2,9.951660767E2
1.997142746E2,9.951812134E2
1.997940440E2,9.951956177E2
1.998738045E2,9.951920166E2
1.999535540E2,9.951735840E2
2.000332891E2,9.951384277E2
2.001129958E2,9.951243286E2
2.001927154E2,9.951192017E2
2.002724920E2,9.951445312E2
2.003522866E2,9.951696777E2
2.004320768E2,9.951793823E2
2.005117997E2,9.951843262E2
2.005915309E2,9.951823120E2
2.006712533E2,9.951640625E2
2.007509484E2,9.951518555E2
2.008306827E2,9.951515503E2
2.009104263E2,9.951746826E2
2.009901832E2,9.951862183E2
2.010699373E2,9.951945190E2
2.011496918E2,9.951962280E2
2.012294479E2,9.951923218E2
2.013092043E2,9.951638794E2
2.013889438E2,9.951551514E2
2.014686928E2,9.951505737E2
2.015484945E2,9.951712036E2
2.016283077E2,9.951953125E2
2.017080665E2,9.952059326E2
2.017878290E2,9.952040405E2
2.018676422E2,9.951964111E2
2.019474936E2,9.951726074E2
2.020273381E2,9.951534424E2
2.021071407E2,9.951523438E2
2.021869486E2,9.951757812E2
2.022667640E2,9.951996460E2
2.023465413E2,9.952141724E2
2.024263328E2,9.952154541E2
2.025061425E2,9.952045288E2
2.025859394E2,9.951787109E2
2.026656940E2,9.951644897E2
2.027454667E2,9.951493530E2
2.028252457E2,9.951610718E2
2.029050306E2,9.951774902E2
2.029848259E2,9.951763916E2
2.030646202E2,9.951676636E2
2.031443968E2,9.951621704E2
2.032241901E2,9.951448364E2
2.033039532E2,9.951407471E2
2.033837328E2,9.951488647E2
2.034634990E2,9.951605835E2
2.035432777E2,9.951762085E2
2.036230247E2,9.951890259E2
2.037027807E2,9.951807861E2
2.037825263E2,9.951677856E2
2.038622717E2,9.951549683E2
2.039420531E2,9.951559448E2
2.040218311E2,9.951490479E2
2.041016425E2,9.951704712E2
2.041814285E2,9.951962280E2
2.042612279E2,9.952074585E2
2.043410423E2,9.951998291E2
2.044208702E2,9.951989136E2
2.045006568E2,9.951815186E2
2.045804471E2,9.951760864E2
2.046602433E2,9.951788940E2
2.047400682E2,9.951900024E2
2.048198737E2,9.952003174E2
2.048996689E2,9.952001343E2
2.049794790E2,9.951779175E2
2.050593068E2,9.951593628E2
2.051391191E2,9.951432495E2
2.052189410E2,9.951253052E2
2.052987578E2,9.951470337E2
2.053785678E2,9.951726074E2
2.054583908E2,9.951964111E2
2.055382360E2,9.952010498E2
2.056180592E2,9.952009277E2
2.056978939E2,9.951776123E2
2.057777540E2,9.951663818E2
2.058575769E2,9.951532593E2
2.059374046E2,9.951693726E2
2.060172141E2,9.951926270E2
2.060970107E2,9.951999512E2
2.061768157E2,9.951925049E2
2.062565742E2,9.951829224E2
2.063363923E2,9.951580811E2
2.064162261E2,9.951476440E2
2.064960697E2,9.951660767E2
2.065758625E2,9.951959229E2
2.066556665E2,9.952246704E2
2.067354631E2,9.952440186E2
2.068152675E2,9.952359009E2
2.068950483E2,9.952112427E2
2.069748348E2,9.951901245E2
2.070546247E2,9.951871948E2
2.071344240E2,9.951890259E2
2.072141994E2,9.952188721E2
2.072939640E2,9.952301636E2
2.073737304E2,9.952299805E2
2.074535528E2,9.952079468E2
2.075333981E2,9.951929321E2
2.076131878E2,9.951688843E2
2.076930049E2,9.951752930E2
2.077728367E2,9.951937256E2
2.078526601E2,9.952237549E2
2.079324924E2,9.952406006E2
2.080123002E2,9.952438965E2
2.080920942E2,9.952279663E2
2.081718772E2,9.952135620E2
2.082516556E2,9.951992188E2
2.083314862E2,9.951860962E2
2.084112930E2,9.952031250E2
2.084910696E2,9.952208862E2
2.085708408E2,9.952182617E2
2.086505968E2,9.952073364E2
2.087303807E2,9.952043457E2
2.088101500E2,9.951828003E2
2.088899359E2,9.951710815E2
2.089697084E2,9.951968384E2
2.090494857E2,9.952249756E2
2.091293001E2,9.952440186E2
2.092090910E2,9.952514038E2
2.092888213E2,9.952432861E2
2.093686223E2,9.952088623E2
2.094484271E2,9.951801147E2
2.095282076E2,9.951723022E2
2.096079592E2,9.951812134E2
2.096877141E2,9.952007446E2
2.097674675E2,9.952266846E2
2.098472326E2,9.952318726E2
2.099270128E2,9.952221680E2
2.100067463E2,9.952035522E2
2.100864923E2,9.951851196E2
2.101662148E2,9.951784058E2
2.102459433E2,9.951911011E2
2.103256793E2,9.952099609E2
2.104054800E2,9.952198486E2
2.104852758E2,9.952182617E2
2.105650142E2,9.951912231E2
2.106447845E2,9.951696777E2
2.107245553E2,9.951607666E2
2.108043674E2,9.951618652E2
2.108841975E2,9.951921387E2
2.109640071E2,9.952304688E2
2.110438207E2,9.952570190E2
2.111236843E2,9.952432861E2
2.112035800E2,9.952260742E2
2.112834823E2,9.951929321E2
2.113633322E2,9.951737061E2
2.114431775E2,9.951515503E2
2.115230233E2,9.951716919E2
2.116028175E2,9.951912231E2
2.116825672E2,9.952006226E2
2.117623031E2,9.951904297E2
2.118420802E2,9.951809082E2
2.119218932E2,9.951757812E2
2.120016891E2,9.951646729E2
2.120814662E2,9.951878052E2
2.121612359E2,9.952007446E2
2.122410099E2,9.952190552E2
2.123207759E2,9.952031250E2
2.124005618E2,9.951813965E2
2.124803283E2,9.951406250E2
2.125600751E2,9.951192017E2
2.126398134E2,9.950946655E2
2.127195696E2,9.951146851E2
2.127993107E2,9.951438599E2
2.128790947E2,9.951552734E2
2.129589238E2,9.951587524E2
2.130387352E2,9.951643677E2
2.131185467E2,9.951440430E2
2.131982804E2,9.951404419E2
2.132780558E2,9.951749878E2
2.133578336E2,9.951973267E2
2.134376027E2,9.952260742E2
2.135173800E2,9.952382812E2
2.135971681E2,9.952272949E2
2.136769177E2,9.951884155E2
2.137566983E2,9.951828003E2
2.138364675E2,9.951633911E2
2.139162423E2,9.951914062E2
2.139960344E2,9.952293701E2
2.140758102E2,9.952407837E2
2.141555813E2,9.952290649E2
2.142353797E2,9.952260742E2
2.143151874E2,9.951884155E2
2.143950338E2,9.951679688E2
2.144748655E2,9.951876221E2
2.145546296E2,9.951976318E2
2.146344541E2,9.952096558E2
2.147142410E2,9.952120361E2
2.147940167E2,9.951912231E2
2.148737986E2,9.951529541E2
2.149535779E2,9.951482544E2
2.150333620E2,9.951339111E2
2.151131872E2,9.951604614E2
2.151930037E2,9.951968384E2
2.152728216E2,9.952286987E2
2.153526381E2,9.952291870E2
2.154324611E2,9.952290649E2
2.155122956E2,9.951956177E2
2.155921237E2,9.951738892E2
2.156719101E2,9.951638794E2
2.157517153E2,9.951749878E2
2.158315297E2,9.951945190E2
2.159113566E2,9.952020264E2
2.159911929E2,9.951900024E2
2.160710289E2,9.951741943E2
2.161508508E2,9.951557617E2
2.162306536E2,9.951543579E2
2.163104534E2,9.951882324E2
2.163902883E2,9.952148438E2
2.164701291E2,9.952377930E2
2.165499327E2,9.952410889E2
2.166297391E2,9.952251587E2
2.167095566E2,9.951859131E2
2.167893523E2,9.951663818E2
2.168691374E2,9.951616821E2
2.169489689E2,9.951674805E2
2.170288291E2,9.951931152E2
2.171086537E2,9.952123413E2
2.171884472E2,9.952163696E2
2.172682896E2,9.952015381E2
2.173481293E2,9.951953125E2
2.174279018E2,9.951815186E2
2.175076927E2,9.951735840E2
2.175874895E2,9.951985474E2
2.176673155E2,9.952247925E2
2.177471629E2,9.952399902E2
2.178270078E2,9.952373047E2
2.179068581E2,9.952268677E2
2.179867184E2,9.951981201E2
2.180665760E2,9.951884155E2
2.181464410E2,9.951791992E2
2.182262878E2,9.952046509E2
2.183061839E2,9.952191772E2
2.183860637E2,9.952204590E2
2.184659085E2,9.951999512E2
2.185457796E2,9.951875000E2
2.186256357E2,9.951580811E2
2.187054752E2,9.951551514E2
2.187853004E2,9.951860962E2
2.188651276E2,9.952204590E2
2.189449892E2,9.952489014E2
2.190248013E2,9.952610474E2
2.191045984E2,9.952592163E2
2.191844326E2,9.952224731E2
2.192642791E2,9.952003174E2
2.193441816E2,9.951864014E2
2.194239801E2,9.951990356E2
2.195037738E2,9.952101440E2
2.195835557E2,9.952143555E2
2.196633415E2,9.952049561E2
2.197431339E2,9.951903076E2
2.198229762E2,9.951685791E2
2.199028297E2,9.951652832E2
2.199826454E2,9.951791992E2
2.200624831E2,9.952017212E2
2.201423093E2,9.952145386E2
2.202221987E2,9.952096558E2
2.203020381E2,9.951895142E2
2.203818472E2,9.951701050E2
2.204616778E2,9.951707764E2
2.205414930E2,9.951754761E2
2.206213064E2,9.952010498E2
2.207011017E2,9.952230835E2
2.207809184E2,9.952407837E2
2.208607467E2,9.952227783E2
2.209405890E2,9.952120361E2
2.210204282E2,9.951942139E2
2.211002584E2,9.951976318E2
2.211800833E2,9.952070312E2
2.212599156E2,9.952301636E2
2.213397431E2,9.952410889E2
2.214196404E2,9.952368774E2
2.214995535E2,9.952135620E2
2.215794157E2,9.951838989E2
2.216592588E2,9.951577759E2
2.217391268E2,9.951566772E2
2.218189779E2,9.951893311E2
2.218988913E2,9.952210693E2
2.219788250E2,9.952442017E2
2.220587093E2,9.952487183E2
2.221386355E2,9.952354736E2
2.222185617E2,9.952024536E2
2.222984388E2,9.951868286E2
2.223783012E2,9.951755981E2
2.224581748E2,9.951967163E2
2.225380246E2,9.952171631E2
2.226178810E2,9.952185669E2
2.226977452E2,9.952062378E2
2.227776113E2,9.951953125E2
2.228574462E2,9.951719971E2
2.229372583E2,9.951612549E2
2.230170659E2,9.951762085E2
2.230968938E2,9.951856079E2
2.231768097E2,9.952068481E2
2.232566826E2,9.952063599E2
2.233364790E2,9.951906128E2
2.234163458E2,9.951661987E2
2.234961797E2,9.951604614E2
2.235759804E2,9.951410522E2
2.236557914E2,9.951810913E2
2.237355705E2,9.952116699E2
2.238153915E2,9.952249756E2
2.238952094E2,9.952247925E2
2.239750324E2,9.952302856E2
2.240548259E2,9.951931152E2
2.241346315E2,9.951755981E2
2.242144357E2,9.951788940E2
2.242942539E2,9.951982422E2
2.243740732E2,9.952187500E2
2.244539190E2,9.952315674E2
2.245337870E2,9.952318726E2
2.246136400E2,9.952163696E2
2.246934726E2,9.951996460E2
2.247733193E2,9.951968384E2
2.248531851E2,9.952279663E2
2.249330373E2,9.952582397E2
2.250128462E2,9.952941895E2
2.250926415E2,9.952987061E2
2.251724794E2,9.952812500E2
2.252523233E2,9.952420044E2
2.253321645E2,9.952159424E2
2.254119895E2,9.952028198E2
2.254917844E2,9.952020264E2
2.255715879E2,9.952330933E2
2.256514025E2,9.952473145E2
2.257312216E2,9.952445068E2
2.258110311E2,9.952262573E2
2.258907992E2,9.952132568E2
2.259705698E2,9.951896362E2
2.260503219E2,9.951626587E2
2.261300781E2,9.951676636E2
2.262098677E2,9.951718750E2
2.262896825E2,9.951704712E2
2.263694952E2,9.951466675E2
2.264493220E2,9.951342163E2
2.265291138E2,9.951026611E2
2.266089276E2,9.950774536E2
2.266887524E2,9.950593262E2
2.267685692E2,9.950856323E2
2.268483949E2,9.951141968E2
2.269281867E2,9.951418457E2
2.270080225E2,9.951669922E2
2.270878613E2,9.951856079E2
2.271676589E2,9.951683960E2
2.272474788E2,9.951448364E2
2.273272945E2,9.951432495E2
2.274071337E2,9.951374512E2
2.274870111E2,9.951321411E2
2.275669447E2,9.951196899E2
2.276468231E2,9.951105957E2
2.277266464E2,9.950838623E2
2.278064640E2,9.950709229E2
2.278862912E2,9.950585938E2
2.279661347E2,9.950679321E2
2.280459793E2,9.950746460E2
2.281258391E2,9.950770264E2
2.282056711E2,9.950682373E2
2.282855094E2,9.950668335E2
2.283653387E2,9.950574951E2
2.284451715E2,9.950654297E2
2.285249985E2,9.951018677E2
2.286048625E2,9.951373291E2
2.286847509E2,9.951660767E2
2.287645849E2,9.951846924E2
2.288444222E2,9.951909180E2
2.289242499E2,9.951710815E2
2.290040713E2,9.951585693E2
2.290839081E2,9.951598511E2
2.291637129E2,9.951604614E2
2.292434996E2,9.951682739E2
2.293233318E2,9.951699829E2
2.294031306E2,9.951677856E2
2.294829432E2,9.951574707E2
2.295627741E2,9.951580811E2
2.296425591E2,9.951571655E2
2.297223345E2,9.951697998E2
2.298021401E2,9.951925049E2
2.298819457E2,9.952155762E2
2.299617568E2,9.952297974E2
2.300415832E2,9.952373047E2
2.301213769E2,9.952333984E2
2.302011850E2,9.952218628E2
2.302810043E2,9.952116699E2
2.303607954E2,9.952057495E2
2.304405476E2,9.952106323E2
2.305203332E2,9.952173462E2
2.306001340E2,9.952207642E2
2.306799208E2,9.952138672E2
2.307597199E2,9.952040405E2
2.308395078E2,9.951860962E2
2.309192881E2,9.951766968E2
2.309990817E2,9.951748047E2
2.310789349E2,9.951857300E2
2.311588390E2,9.952007446E2
2.312386896E2,9.952095337E2
2.313185395E2,9.952113647E2
2.313984486E2,9.952029419E2
2.314783217E2,9.951889038E2
2.315582273E2,9.951812134E2
2.316381036E2,9.951787109E2
2.317179718E2,9.951884155E2
2.317978493E2,9.952007446E2
2.318777242E2,9.952107544E2
2.319576233E2,9.952076416E2
2.320374834E2,9.952018433E2
2.321173165E2,9.951879272E2
2.321971382E2,9.951806030E2
2.322769727E2,9.951831055E2
2.323567822E2,9.952001343E2
2.324366088E2,9.952177734E2
2.325164654E2,9.952262573E2
2.325963365E2,9.952294922E2
2.326762332E2,9.952235718E2
2.327560470E2,9.952107544E2
2.328358802E2,9.952060547E2
2.329157024E2,9.952056274E2
2.329955432E2,9.952157593E2
2.330753658E2,9.952271729E2
2.331551925E2,9.952327881E2
2.332350425E2,9.952207642E2
2.333148679E2,9.952106323E2
2.333946900E2,9.951929321E2
2.334744932E2,9.951860962E2
2.335543001E2,9.951777954E2
2.336341214E2,9.951889038E2
2.337139716E2,9.951989136E2
2.337938131E2,9.952046509E2
2.338736283E2,9.951967163E2
2.339534659E2,9.951921387E2
2.340333915E2,9.951887207E2
2.341134006E2,9.951993408E2
2.341934799E2,9.952249756E2
2.342734408E2,9.952484131E2
2.343533220E2,9.952684326E2
2.344331990E2,9.952670288E2
2.345130878E2,9.952559204E2
2.345929949E2,9.952340698E2
2.346728981E2,9.952205811E2
2.347528465E2,9.952208862E2
2.348328598E2,9.952440186E2
2.349128725E2,9.952599487E2
2.349928643E2,9.952676392E2
2.350728029E2,9.952693481E2
2.351528057E2,9.952596436E2
2.352327446E2,9.952379761E2
2.353126586E2,9.952286987E2
2.353925314E2,9.952260742E2
2.354724028E2,9.952308960E2
2.355523127E2,9.952366943E2
2.356321978E2,9.952395020E2
2.357120561E2,9.952254639E2
2.357919172E2,9.952134399E2
2.358717595E2,9.951960449E2
2.359515932E2,9.951912231E2
2.360314540E2,9.951853027E2
2.361113171E2,9.952093506E2
2.361911738E2,9.952271729E2
2.362709926E2,9.952426147E2
2.363508281E2,9.952442017E2
2.364306624E2,9.952495117E2
2.365105625E2,9.952362061E2
2.365904549E2,9.952315674E2
2.366703631E2,9.952484131E2
2.367502481E2,9.952624512E2
2.368300761E2,9.952735596E2
2.369099030E2,9.952760620E2
2.369897637E2,9.952657471E2
2.370695884E2,9.952390137E2
